phase,entry_idx,exit_idx,direction,label,bars_held,outcome
test,30585,30586,-1.0,0,1,stop_loss
test,30768,30828,-1.0,0,60,stop_loss
test,30910,31001,-1.0,1,91,profit_take
test,31051,31104,-1.0,1,53,profit_take
test,31161,31162,1.0,0,1,stop_loss
test,31196,31314,-1.0,1,118,profit_take
test,31315,31316,1.0,0,1,stop_loss
test,31489,31490,-1.0,0,1,stop_loss
test,31590,31591,-1.0,0,1,stop_loss
test,31683,31684,1.0,0,1,stop_loss
test,31762,31785,-1.0,0,23,stop_loss
test,31844,31867,-1.0,1,23,profit_take
test,31915,31928,-1.0,0,13,stop_loss
test,32044,32081,-1.0,1,37,profit_take
test,32148,32149,1.0,0,1,stop_loss
test,32204,32214,1.0,0,10,stop_loss
test,32437,32529,-1.0,1,92,profit_take
test,32538,32622,-1.0,1,84,profit_take
test,32634,32635,1.0,0,1,stop_loss
test,32721,32722,-1.0,0,1,stop_loss
test,32829,32830,1.0,0,1,stop_loss
test,32900,32901,-1.0,0,1,stop_loss
test,32970,32971,-1.0,0,1,stop_loss
test,33124,33125,-1.0,0,1,stop_loss
test,33201,33202,-1.0,0,1,stop_loss
test,33333,33410,1.0,1,77,profit_take
test,33431,33433,1.0,1,2,profit_take
test,33435,33436,1.0,0,1,stop_loss
test,33510,33545,-1.0,1,35,profit_take
test,33576,33578,-1.0,0,2,stop_loss
test,33649,33686,-1.0,1,37,profit_take
test,33693,33721,1.0,1,28,profit_take
test,33759,33785,-1.0,1,26,profit_take
test,33854,33855,1.0,0,1,stop_loss
test,33914,33915,-1.0,0,1,stop_loss
test,34039,34042,1.0,1,3,profit_take
test,34105,34106,-1.0,0,1,stop_loss
test,34235,34318,-1.0,1,83,profit_take
test,34332,34333,-1.0,0,1,stop_loss
test,34464,34554,-1.0,0,90,stop_loss
test,34730,34731,-1.0,0,1,stop_loss
test,34849,34850,-1.0,0,1,stop_loss
test,34948,34963,1.0,1,15,profit_take
test,35053,35054,-1.0,0,1,stop_loss
test,35117,35118,-1.0,0,1,stop_loss
test,35216,35253,-1.0,1,37,profit_take
test,35286,35335,-1.0,1,49,profit_take
test,35358,35362,1.0,1,4,profit_take
test,35415,35547,1.0,1,132,profit_take
test,35561,35581,1.0,1,20,profit_take
test,35601,35620,-1.0,1,19,profit_take
test,35647,35688,1.0,1,41,profit_take
test,35712,35713,-1.0,0,1,stop_loss
test,35857,35860,-1.0,0,3,stop_loss
test,35942,35961,-1.0,1,19,profit_take
test,36034,36069,-1.0,1,35,profit_take
test,36136,36189,-1.0,1,53,profit_take
test,36198,36206,1.0,1,8,profit_take
test,36212,36213,1.0,0,1,stop_loss
test,36302,36343,1.0,1,41,profit_take
test,36382,36454,1.0,1,72,profit_take
test,36470,36477,-1.0,1,7,profit_take
test,36493,36523,1.0,1,30,profit_take
test,36606,36709,-1.0,1,103,profit_take
test,36753,36770,-1.0,0,17,stop_loss
test,36869,36870,-1.0,0,1,stop_loss
test,36957,36958,1.0,0,1,stop_loss
test,37032,37039,-1.0,1,7,profit_take
test,37090,37091,-1.0,0,1,stop_loss
test,37180,37181,-1.0,0,1,stop_loss
test,37268,37269,1.0,0,1,stop_loss
test,37379,37380,-1.0,0,1,stop_loss
test,37473,37474,1.0,0,1,stop_loss
test,37535,37537,-1.0,1,2,profit_take
test,37574,37743,1.0,1,169,profit_take
test,37784,37785,-1.0,0,1,stop_loss
test,37918,37919,1.0,0,1,stop_loss
test,37981,38022,-1.0,1,41,profit_take
test,38023,38057,-1.0,1,34,profit_take
test,38066,38067,-1.0,0,1,stop_loss
test,38225,38250,-1.0,0,25,stop_loss
test,38318,38377,1.0,1,59,profit_take
test,38409,38410,1.0,0,1,stop_loss
test,38526,38585,1.0,1,59,profit_take
test,38606,38633,-1.0,1,27,profit_take
test,38716,38729,-1.0,1,13,profit_take
test,38816,38873,-1.0,1,57,profit_take
test,38877,38878,1.0,0,1,stop_loss
test,38945,39014,-1.0,1,69,profit_take
test,39040,39063,1.0,1,23,profit_take
test,39112,39168,1.0,1,56,profit_take
test,39240,39273,1.0,1,33,profit_take
